fips_state,fips_st_code,event_year,event_month,event_type,injuries_direct,injuries_indirect,death_direct,death_indirect,event_source,episode_narrative
PENNSYLVANIA,42,2012,April,Wildfire,0,3,0,0,NPOP,"A moist and unstable environment was aided by daytime heating to create thunderstorms in the afternoon.  Later that evening, some repetitive storms caused localized flooding in northern Athens County and adjacent Morgan County."
OKLAHOMA,40,2012,April,Tornado,0,0,0,0,Newspaper,"Thunderstorms developed along and ahead of a cold front as it pushed southeast across southern Illinois. A 500 mb shortwave trough moving southeast across the Middle Missouri Valley enhanced the storms. While the steering winds were rather weak, high moisture and instability contributed to multicell storms with torrential rain."
PENNSYLVANIA,42,2012,April,Strong Wind,0,0,0,0,Other Federal Agency,"Thunderstorms developed along and ahead of a cold front as it pushed southeast across southern Illinois. A 500 mb shortwave trough moving southeast across the Middle Missouri Valley enhanced the storms. While the steering winds were rather weak, high moisture and instability contributed to multicell storms with isolated wet microbursts and torrential rain."
NEW JERSEY,34,2012,April,Strong Wind,0,0,0,0,Department of Highways,A frontal system combined with ample moisture and instability to produce numerous showers and thunderstorms across central and southern Mississippi during the afternoon and evening hours of July 3rd and 4th. The storms produced large hail and damaging winds.
OKLAHOMA,40,2012,April,Hail,1,2,0,0,Official NWS Observations,Afternoon thunderstorms developed over the Rolling Plains along residual outflow boundaries from thunderstorms early in the morning. One of these storms produced severe wind gusts near Paducah (Cottle County).
TEXAS,48,2012,April,Funnel Cloud,0,0,0,0,Mesonet,An approaching cold front along with strong surface heating over the mountains allowed for the development of thunderstorms across the Billings Forecast Area. The combination of 40-50kt largely unidirectional west/southwest layer wind profiles and steep low to mid level lapse rates resulted in bowing segments and embedded supercells that produced high winds and large hail.
ATLANTIC NORTH,88,2012,April,Marine Thunderstorm Wind,0,0,0,0,Law Enforcement,A waterspout was observed in association with an isolated rain shower near Garden Key in Dry Tortugas National Park.
MINNESOTA,27,2012,April,Frost/Freeze,0,0,0,0,NWS Storm Survey,A strong push of monsoon moisture brought thunderstorms to much of the Mojave Desert and southern Great Basin.  Several storms produced severe weather and flash flooding.
MARYLAND,24,2012,April,Drought,0,0,0,0,Emergency Manager,"Pulse type severe thunderstorms developed during the late afternoon across portions of Southwest Arkansas on July 3rd.  These storms developed in a moderately unstable airmass with afternoon temperatures above 100 degrees.  Once these storms collapsed, they produced strong damaging wind gusts.  These storms were also prolific cloud to ground lightning producers."
DELAWARE,10,2012,April,Drought,0,0,0,0,Fire Department/Rescue,Isolated strong thunderstorms developed over the greater Phoenix area and produced damaging downburst winds during the evening hours on July 3rd. The strong winds damaged a number of trees in the community of Mesa.
ILLINOIS,17,2012,April,Frost/Freeze,0,0,0,0,Broadcast Media,High based thunderstorms over central Arizona produced strong gusty winds and dense blowing dust across central Maricopa county during the late afternoon hours on the 3rd of July. A dust storm formed and affected the area from Tonopah westward to the La Paz county line. Visibilities to near zero miles led to multiple semi truck accidents along interstate 10 west of Tonopah.
IOWA,19,2012,April,Frost/Freeze,0,0,0,0,Park/Forest Service,The Riser Wildfire began around 1857 CST about ten miles east southeast of Sunray Texas in Moore County just south of Farm to Market Road 281 and just west of Farm to Market Road 1060. The wildfire was caused by lightning and consumed an estimated four hundred acres. There were no reports of structures damaged or destroyed and there were no reports of injuries or fatalities. The wildfire was contained around 2130 CST.
WISCONSIN,55,2012,April,Frost/Freeze,0,0,0,0,COOP Observer,High releases were necessary for water control on Flaming Gorge Reservoir which created high flows downstream of the dam through early July.
KANSAS,20,2012,April,Heavy Rain,0,0,0,0,Trained Spotter,"Isolated thunderstorms developed over portions of Imperial and Riverside counties during the early morning hours on July 3rd. Gusty thunderstorm outflow winds as high as 50 mph produced dense blowing sand and dust, especially across central Imperial county. Visibilities down to zero miles led to the issuance of multiple dust storm warnings."
KANSAS,20,2012,April,Flood,0,0,0,0,ASOS,A warm front also acted as a focus for thunderstorms with heavy rain during the late afternoon and early evening of the 3rd across central New Jersey and caused poor drainage and flash flooding. Doppler Radar storm total estimates reached between two and three inches across parts of Ocean and southeastern Burlington County.
NEW MEXICO,35,2012,April,Thunderstorm Wind,0,0,0,0,AWOS,Atmosphere could muster only weak instability during maximum heating. Convection was limited to the higher terrain with no large scale storm organization.
ARIZONA,4,2012,April,Dust Storm,0,0,0,0,C-MAN Station,A fire was reported near Carolina Forest.
COLORADO,8,2012,April,Thunderstorm Wind,0,0,0,0,Public,Scattered severe thunderstorms associated with a trough of low pressure produced damaging winds across portions of central and eastern Virginia.
CALIFORNIA,6,2012,April,Funnel Cloud,0,0,0,0,NWS Employee,A moist and unstable environment was aided by daytime heating to create thunderstorms.  Some of the storms pulsed to severe limits with tree damage or large hail.
CALIFORNIA,6,2012,April,Thunderstorm Wind,0,0,0,0,County Official,Upper-level support for unstable surface conditions set the stage for the development of severe thunderstorms.
LOUISIANA,22,2012,April,Lightning,2,0,2,0,Unknown,"Three people died in the Las Vegas Valley due to complications from heat exposure. High temperatures actually averaged three degrees below normal for the five day period, but the season's first strong push of monsoon moisture made it very humid."
CALIFORNIA,6,2012,April,Hail,0,0,0,0,River/Stream Gage,An upper level shortwave was the focus of strong to severe thunderstorms in south-central Louisiana.
NEW MEXICO,35,2012,April,Flash Flood,0,0,0,0,CoCoRaHS,An upper level shortwave was the focus of strong thunderstorms in the northwest Gulf of Mexico.
NEW MEXICO,35,2012,April,Funnel Cloud,0,0,0,0,RAWS,"By late in the afternoon of the 4th, temperatures had risen into the 80s to low 90s with dew points in the low 70s. This created an extremely unstable airmass over eastern North Dakota and the northwest quarter of Minnesota. A cold front over central North Dakota marched to the east, helping to initiate severe thunderstorms across the area."
MISSOURI,29,2012,April,Frost/Freeze,0,0,0,0,Airplane Pilot,"The combination of a very unstable atmosphere, weak shear and several outflow boundaries resulted in severe pulse-type thunderstorms across western North Carolina. Some of the storms produced wind damage and large hail as they drifted to the east."
COLORADO,8,2012,April,Hail,0,0,0,0,Storm Chaser,A strong upper level wave moved across the area during the afternoon. The lift created by this wave combined with moderate to strong instability over the region produced widespread showers and thunderstorms. Enough dry air was present in the low and mid levels to allow for strong downbursts of winds to occur with many of these storms. A few storms also produced large hail.
COLORADO,8,2012,April,Funnel Cloud,0,0,0,0,Amateur Radio,"A strong upper level wave moved across the area during the afternoon. The lift created by this wave combined with moderate to strong instability over the region, produced widespread showers and thunderstorms. Enough dry air was present in the low and mid levels to allow for strong downbursts of winds to occur with many of these storms. A few storms also brought large hail."
CALIFORNIA,6,2012,April,Tornado,0,0,0,0,AWSS,Abundant low level moisture and strong heating ahead of a weak frontal boundary  sparked strong to severe thunderstorms.
TENNESSEE,47,2012,April,Frost/Freeze,0,0,0,0,Post Office,Abundant low level moisture pooled along and ahead of a weak frontal boundary and strong daytime heating combined to produced strong to severe thunderstorms.  Some storms produced close to quarter size hail and damaging microburst winds.
IDAHO,16,2012,April,Dust Storm,0,0,0,0,Utility Company,"Numerous outflow boundaries from the previous days convection, combined with strong afternoon heating and modest upper level support allowed for afternoon thunderstorms to develop over parts of central and southern Oklahoma. Due to the high cloud bases and dry sub-cloud air, strong winds were the main threats. Minor roof and tree damage were reported."
CONNECTICUT,9,2012,April,Drought,0,0,0,0,Buoy,Scattered thunderstorms associated with a trough of low pressure produced gusty winds across portions of the Chesapeake Bay and Virginia Coastal Waters.
NEBRASKA,31,2012,April,Hail,0,0,0,0,SNOTEL,"Plenty of fuels, dry air, and wind created ideal conditions for wildfires for early July.  Lightning from a nearby thunderstorm caused the Ward Fire in Sutton County."
CALIFORNIA,6,2012,April,Winter Storm,0,0,0,0,Insurance Company,Favorable positioning of upper level high pressure brought southeast flow and a corresponding increase in moisture which resulted in afternoon and evening thunderstorms across southern Arizona. Some of the storms produced strong winds.
MICHIGAN,26,2012,April,Frost/Freeze,0,0,0,0,Coast Guard,"A weakness in the subtropical ridge was noted across the southeast U.S., with the center of a strong subtropical ridge persisting across Texas and off the east coast in the central Atlantic.  A subtle upper trough was noted across the Mid-Atlantic region, with an extension of this trough into the southeast U.S.  A hot, humid, air mass also remained in place across the southeast U.S.  These synoptic features provided for scattered to numerous thunderstorms on the 4th of July in 2011.  Activity began quite early, namely in the late morning, and persisted until midnight across parts of north Georgia.  Cloud-to-ground lightning was particularly intense, resulting in several lightning-related fires.  Several thunderstorms also became severe during the mid-afternoon to early evening, mainly across north Georgia, producing damaging downburst winds and quarter to half-dollar-sized hail.  Extremely erratic thunderstorm movement was observed throughout this event as thunderstorms propagated on outflow boundaries throughout the afternoon and evening.  Initial thunderstorm movement/propagation was northeastward, but by the end of the day had become southeastward.  Numerous cell mergers were also noted throughout this convective event."
MASSACHUSETTS,25,2012,April,Drought,0,0,0,0,State Official,A trough of low pressure at the mid-levels of the atmosphere remained over the region on the 4th. The cooler air aloft associated with the mid-level trough caused enough instability for scattered showers and thunderstorms to develop. An isolated thunderstorm produced gusty winds.
ALABAMA,1,2012,April,Frost/Freeze,0,0,0,0,Mariner,"Severe thunderstorms brought large hail, damaging winds, and flash flooding to parts of central and northeast South Dakota."
NEBRASKA,31,2012,April,Funnel Cloud,0,0,0,0,SHAVE Project,Strong afternoon heating in advance of an approaching surface front and upper level trough fueled strong to severe thunderstorms across central North Carolina during the afternoon and evening of the 4th.
NEBRASKA,31,2012,April,Tornado,0,0,0,0,WLON,A Portland girl drowned Monday morning at Cape Lookout State Park on the Oregon coast.
WISCONSIN,55,2012,April,Dense Fog,0,0,0,0,Drought Monitor,"Severe thunderstorms developed over north central Nebraska and moved into south central South Dakota. The storms produced large hail and strong winds across Mellette, Todd, and Tripp Counties."
RHODE ISLAND,44,2012,April,Drought,0,0,0,0,911 Call Center,A severe thunderstorm produced wind gusts to 60 mph south of Hot Springs.
CALIFORNIA,6,2012,April,Flood,0,0,0,0,Social Media,A cold front with a pre-frontal trough moved through the forecast area during the afternoon and early evening of July 4th. Ahead of this boundary was very unstable air with high surface dew points and large CAPE values of 2000-2500 J/kg. Wind flow was relatively weak with limited wind shear. These storms produced many reports of wind damage and large hail.
CALIFORNIA,6,2012,April,Lightning,0,0,0,0,NPOP,"The combination of an upper level disturbance and daytime heating produced showers and thunderstorms over portions of the Mid-South during the afternoon into the early evening hours of July 4th, 2011. Some storms became severe producing large hail and damaging winds."
OKLAHOMA,40,2012,April,Tornado,0,20,0,0,Newspaper,"The 337 Fire began on July 4th approximately 5 miles northwest of Mineral Wells. This fire was contained on July 15th and burned a total of 932 acres. A camper, a deer camp, and some outbuildings were lost in the fire. On the 7th, a firefighter from Boise, ID died due to hyperthermia while working on the lines of the 337 Fire. On July 5th, a small grass fire in Mineral Wells burned a shed. Very hot and dry conditions this month resulted in elevated fire danger."
E PACIFIC,86,2012,April,Waterspout,0,0,0,0,Other Federal Agency,Summertime isolated afternoon and evening thunderstorms developed under the influence of an upper level ridge as convective temperatures around 100 degrees were reached. One storm in Hopkins County caused wind damage.
NEBRASKA,31,2012,April,Flood,0,0,0,0,Department of Highways,A thunderstorm produced flooding below the southern section of the Schultz Fire.
MISSOURI,29,2012,April,Thunderstorm Wind,0,0,0,0,Official NWS Observations,"A disturbance in the upper levels of the atmosphere moved over the region and triggered scattered thunderstorms over the Lake George area during the afternoon hours on Monday, July 4th. One storm became severe and produced large hail and damaging winds on the east side of Lake George."
NEVADA,32,2012,April,Tornado,0,0,0,0,Mesonet,A frontal system combined with ample moisture and instability to produce numerous showers and thunderstorms on July 3rd and 4th. A couple of these storms caused damage in Morehouse Parish.
NEVADA,32,2012,April,Heavy Snow,0,0,0,0,Law Enforcement,Numerous sightings of funnel clouds were reported in Scotts Bluff as well as southern Sioux and Dawes counties during the late afternoon.
ATLANTIC SOUTH,87,2012,April,Waterspout,0,0,0,0,NWS Storm Survey,"A few severe thunderstorms developed during the afternoon through evening hours on Monday, July 4th across Middle Tennessee. This resulted in thunderstorm wind damage, large hail, and flash flooding reports across four counties in the midstate."
UTAH,49,2012,April,Heavy Snow,0,0,0,0,Emergency Manager,A moist and unstable environment was aided by daytime heating to create afternoon thunderstorms.  One of the thunderstorms became severe in Buchanan County Virginia.  The convection developed into a bow echo as it pushed northeast into McDowell and Wyoming Counties.
ARIZONA,4,2012,April,Heavy Rain,0,0,0,0,Fire Department/Rescue,A moist and unstable environment was aided by daytime heating to create afternoon thunderstorms.  One of the thunderstorms became severe in Buchanan County.  The convection developed into a bow echo as it pushed northeast into McDowell and Wyoming Counties of southern West Virginia.
CALIFORNIA,6,2012,April,Flash Flood,0,0,0,0,Broadcast Media,Thunderstorms formed along a surface trough in the eastern Nebraska Panhandle on the evening of July 4th.  These storms tracked across northern Nebraska before lifting into southern South Dakota.  Some of the storms were severe with large hail and damaging wind gusts.
KANSAS,20,2012,April,Tornado,0,0,0,0,Park/Forest Service,"A large outflow boundary initiated by previous showers and thunderstorms over northern Arkansas during the day Monday spread south into the Four State Region during the late afternoon and evening. This boundary helped with the development of showers and thunderstorms that interacted with other isolated and smaller scale outflow boundaries to produce scattered strong to severe thunderstorms that contained locally heavy rainfall, frequent and continuous lightning strikes, and gusty winds of 30 to near 45 mph and isolated higher gusts. These gusts downed trees and power lines. Daytime temperatures were near the century mark Around nightfall the storms went into a decreasing cycle with loss of the afternoon heating. However, during the evening, remnants of a sea breeze boundary spread north across parts of East Texas and lower Northwest and North Central Louisiana and collided with the south bound boundary, allowing storms to increase in intensity as they moved across parts of Louisiana just prior to midnight."
IOWA,19,2012,April,Tornado,4,0,0,0,COOP Observer,"A weak, fast moving front crossed the Dakotas on the 4th.  Thunderstorms along the front maintained an outflow boundary and produced a hail and wind event during the late afternoon and evening of Independence Day."
NEBRASKA,31,2012,April,Heavy Rain,0,0,0,0,Trained Spotter,"A large outflow boundary initiated by previous showers and thunderstorms over northern Arkansas during the day Monday spread south into the Four State Region during the late afternoon and evening. This boundary helped with the development of showers and thunderstorms that interacted with other isolated and smaller scale outflow boundaries to produce scattered strong to severe thunderstorms that contained locally heavy rainfall, frequent and continuous lightning strikes, and gusty winds of 30 to near 45 mph and isolated higher gusts.  These gusts downed trees and power lines. Daytime temperatures were near the century mark  Around nightfall the storms went into a decreasing cycle with loss of the afternoon heating. However, during the evening, remnants of a sea breeze boundary spread north across parts of East Texas and lower Northwest and North Central Louisiana and collided with the south bound boundary, allowing storms to increase in intensity as they moved across parts of Louisiana just prior to midnight."
OKLAHOMA,40,2012,April,Tornado,29,0,6,0,ASOS,"Heat and humidity, along with a secondary cold front moving through Southern New England resulted in strong to severe thunderstorms developing over eastern Massachusetts.  The strongest of these storms produced quarter size hail and damaging winds."
KANSAS,20,2012,April,Tornado,38,0,0,0,AWOS,"Thunderstorms developed over the south central deserts, and to the southeast of the greater Phoenix area, during the late afternoon hours on July 4th. The storms produced strong gusty outflow winds which moved to the northwest and overspread the deserts of northwestern Pinal county. The winds generated dense blowing dust, and dust storm conditions which affected communities such as Casa Grande and Arizona City."
ILLINOIS,17,2012,April,Thunderstorm Wind,0,0,0,0,C-MAN Station,Severe thunderstorms with large hail and damaging winds developed during the afternoon of the 4th in advance of a cold front crossing the region. Isolated flash flooding also occurred in the Caribou area. The thunderstorms continued into the early evening.
MISSOURI,29,2012,April,Flood,0,0,0,0,Public,"An upper-level trough moved through the region on July 4th-6th. The trough interacted with a surge of monsoonal moisture, bringing thunderstorms to the Southern Sierra Nevada, Tehachapi Mountains and the Kern County deserts. The afternoon of July 4th saw gusts of 50-55 mph in the Kernville/Lake Isabella area, and hail up to a half-inch in diameter fell at Ponderosa in the Tulare County mountains. Heavy rain fell in Rosamond, with a spotter reporting 1.48 inch of rain that caused street flooding. ||Thunderstorms redeveloped during the afternoon of July 5th. Strong winds knocked down trees and utility poles in Rosamond. The winds also caused blowing dust with zero visibility that closed Highway 58 between Mojave and California City. Flooding was reported in Rosamond and on Highway 14 at the Red Rock-Randsburg Road later in the afternoon as thunderstorms continued over the region. The storms continued the next day as the trough began moving east of the central California interior. Heavy rain was reported at Hume Lake on the 6th, with an inch of rain falling in 1 ?? hour. The trough brought cooling to the region, with Fresno having a high of ???only??? 100 on the 5th, although temperatures rebounded to 105 the next day as the ridge strengthened over the state behind the departing trough.||San Joaquin Valley temperatures continued in triple digits from the 7th through the 9th, with some locations???including Bakersfield???having triple-digit heat on the 10th."
IOWA,19,2012,April,Thunderstorm Wind,0,0,0,0,NWS Employee,"Isolated thunderstorms developed across the central Arizona deserts during the early evening hours of July 4th, and they produced strong gusty and damaging microburst winds. The strong winds damaged trees over portions of Pinal county."
MISSOURI,29,2012,April,Flash Flood,0,0,0,0,County Official,Moderate instability formed across the Southern Appalachians during the early afternoon and widely scattered severe thunderstorms developed ahead of a cold front resulting in damaging winds.
IOWA,19,2012,April,Heavy Rain,0,0,0,0,Unknown,"High pressure over the four-corners region resulted in an extended monsoonal flow pattern across Southern California. For several days, strong thunderstorms produced heavy rain, flash flooding and large hail across parts of Southern California."
IOWA,19,2012,April,Tornado,2,0,0,0,River/Stream Gage,Scattered severe thunderstorms associated with a trough of low pressure produced damaging winds and large hail across portions of central and southeast Virginia.
IOWA,19,2012,April,Hail,0,0,0,0,CoCoRaHS,"A weakening, nearly stationary front helped to trigger thunderstorms in northern Arkansas during the morning hours of July 4th and 5th. As outflow boundaries (cool air flowing out of the thunderstorms, forming a boundary much like a mini-cold front) moved out away from these storms, new storms developed during the afternoon and early evening farther south. A few severe thunderstorms and locally heavy rain occurred."
IOWA,19,2012,April,Tornado,0,0,0,0,RAWS,Heavy rain caused roads to flood at Costco and at City Hall and 6th Street.
NEBRASKA,31,2012,April,Flash Flood,0,0,0,0,Airplane Pilot,Scattered thunderstorms drifted out of the North Carolina mountains and into upstate South Carolina during the afternoon hours. A couple of the storms produced small areas of wind damage.
IOWA,19,2012,April,Lightning,0,0,0,0,Storm Chaser,A thunderstorm brought high winds to Clarkdale.
IOWA,19,2012,April,Flash Flood,0,0,0,0,Amateur Radio,A thunderstorm produced heavy rain over the Wallow Fire burned area and caused flash flooding on Butler Creek in Greer.
IOWA,19,2012,April,High Wind,0,0,0,0,AWSS,"The combination of a very unstable atmosphere, weak shear and several outflow boundaries resulted in severe pulse-type thunderstorms across upstate South Carolina. Some of the storms produced wind damage and large hail as they drifted to the east."
TEXAS,48,2012,April,Hail,1,0,0,0,Post Office,A trough of low pressure at the mid-levels of the atmosphere remained over the region on the 4th. The cooler air aloft associated with the mid-level trough caused enough instability for scattered showers and thunderstorms to develop. A few thunderstorms producted damaging winds and large hail.
WYOMING,56,2012,April,Winter Weather,0,0,0,0,Utility Company,A line of strong thunderstorms moved across portions of eastern KY during the afternoon hours of July 4th. The only report of severe weather on this was of a downed tree that fell onto power lines in Perry county.
HAWAII,15,2012,April,High Surf,0,0,0,0,Buoy,A thunderstorm develop during the late evening and produced large hail in southeast Mississippi.
ARIZONA,4,2012,April,Heavy Snow,0,0,0,0,SNOTEL,Summertime isolated afternoon and evening thunderstorms developed under the influence of an upper level ridge as convective temperatures around 100 degrees were reached. A few storms in Anderson County produced small hail and caused wind damage.
PUERTO RICO,99,2012,April,Heavy Rain,0,0,0,0,Insurance Company,"A cold front moved into northwest Iowa during the afternoon.  The airmass was relatively unstable given a considerable amount of cloud debris was left over from the previous night.  Temperatures rose into the low to mid 80s, with dewpoint temperatures in the low 70s.  CAPE values increased to 1500 to 3000 J/kg, with lifted indices in the -4 to -6 C range.   There was weak convergence ahead of the cold front as a weak outflow boundary pushed southwest into the state.  Precipitable water values increased to between 1.7 and 1.9 inches.  The freezing level was quite high, around 14,500 feet with about 500 J/kg of CAPE available in the -10 to -30 C layer of the atmosphere.  Downdraft CAPE was also around 500 J/kg.  The atmosphere was weakly sheared with 20 to 30 kts of shear available during the early afternoon.  This increased to 25 to 35 kts as the storms moved through.   The LCL level was relatively low, around 750 meters.  A narrow line of thunderstorms formed along the outflow boundary in southern Minnesota and dropped south into Iowa.  A few of the storms intensified over Kossuth County and produced gusty winds and small hail.  A MARC signature developed along the leading edge of the storms as they began to bow out.  This produced high winds west of the Burt area.  Telephone poles were blown down and damage was done to a building.  The thunderstorms continued to move south along the instability axis.  Winds of 60 to 70 MPH caused tree damage east of Fort Dodge in Webster County.  At another nearby location, a hog confinement building was destroyed.  Trees and a windmill also were blown over by the high winds.  Strong winds continued as the system moved south.  Winds around 70 MPH flattened corn fields south of Fort Dodge toward the Boone area."
NORTH CAROLINA,37,2012,April,Wildfire,0,0,0,0,Coast Guard,"Strong to severe thunderstorm development had occured in the early afternoon hours of July 5th near the Tucson, AZ area and east of Tucson. As thunderstorms dissipated and began moving northwest, outflows from these storms began producing very strong downburst winds, some in excess of 70 mph. Around 6:30pm MST, the NWS Phoenix office began receiving calls of dust moving into the Casa Grande, AZ area, about 50 miles southeast of downtown Phoenix. Upon examining radar data, it is estimated the dust storm reached a maximum height of 5000 feet to 6000 feet, the aerial coverage was close to 100 miles and the distance traveled was around 150 miles."
MINNESOTA,27,2012,April,Funnel Cloud,0,0,0,0,State Official,"A severe thunderstorm produced a wind gust to 58 mph at Akron Airport.  A flash flood was also reported along St. Louis Creek in Grand County.  As a result, some of the streets in the town of Fraser were flooded."
MINNESOTA,27,2012,April,Tornado,0,0,0,0,Mariner,"Between the mid-afternoon and late-evening hours on this Wednesday, separate corridors of severe thunderstorms rolled southward across both eastern and western sections of South Central Nebraska. The first and most widespread round of severe storms focused east of the Highway 281 corridor between 4 PM and 8 PM CDT. These initial storms, highlighted by a mostly outflow-dominant supercell, rapidly intensified across Polk County along the leading edge of a weak east-west line of convection sagging southward from northeast Nebraska. For the next several hours, the initial supercell cluster along with subsequent severe multicell storms developing along its outflow boundary dropped south-southeast through several counties, eventually exiting southern Thayer County around 8 PM CDT. Along the way, there were multiple reports of large hail up to golf ball size and damaging winds up to around 70 MPH. Although no tornadoes were reported, a brief funnel cloud was sighted near the York-Seward County line. One of the most notable areas of wind damage occurred in and near Waco in York County, where several trees and large branches were blown down in town, and three grain bins were destroyed a few miles southeast of town. In eastern Nuckolls County, several minutes of large hail resulted in crop damage along a narrow corridor between Oak and Ruskin. In addition to hail and wind, torrential rainfall of 2.5 to around 4 inches fell in a short time across parts of Polk and York Counties. This resulted in localized flash flooding, with water running over a few roads including Highway 81/92 just west of Osceola. ||Around the time the initial corridor of severe storms exited southeast portions of the area, a new east-west line of strong to severe convection flared up well to the northwest, first affecting areas west of Highway 281 and north of Interstate 80. Although this new line of storms eventually dropped southward across the majority of South Central Nebraska, the main focus for severe weather clearly targeted Dawson and Phelps Counties mainly between 9 and 11 PM CDT. Reports from these counties included a roof blown off an outbuilding west of Sumner, and ping pong ball size hail covering Highway 23 between Bertrand and Loomis. In addition, radar-derived products estimated that at least 4 inches of rain might have fallen across northern portions of Dawson County. Although this second round of severe storms weakened around 11 PM CDT, additional non-severe storms continued drifting through portions of South Central Nebraska well into the early morning hours of Thursday the 6th. ||The synoptic and mesoscale environment was quite supportive for southward moving clusters of severe storms, thanks to the combination of a very unstable airmass in the presence of favorable west-northwest flow aloft. Around the time of initial afternoon development in the Polk County area, MLCAPE values were quite high, around 4000 J/kg, in the presence of deep-layer vertical wind shear around 40 knots. Despite a lack of pronounced upper forcing, a corridor of weak shortwave energy spread into Nebraska from the north and west, focused along the northern periphery of a broad ridge centered over the southern United States. At the surface, an east-west quasi-stationary front took shape near the Nebraska-Kansas border during the afternoon. Light easterly breezes north of this boundary allowed low level moisture to pool, with surface dewpoints climbing into the low-mid 70s."
MINNESOTA,27,2012,April,Heavy Snow,0,0,0,0,SHAVE Project,"A thunderstorm caused a brief tornado near East Bethel, Minnesota. It moved over Coon Lake and reached shore, damaging a boat, dock and a few trees."
IOWA,19,2012,April,Strong Wind,0,0,0,0,WLON,"A weak trough over the east coast, combined with a boundary in our vicinity, provided a focus for scattered shower and thunderstorm development. Instability was moderate, but winds aloft were weak, and thus most storms remained under severe limits, however a few strengthened enough to produce strong winds. These storms did produce brief heavy rainfall, with a few areas experiencing mainly minor flash flooding. A stronger cold front pushed through on the 8th bringing a pattern change to the region."
IOWA,19,2012,April,Flood,0,0,0,0,Drought Monitor,A favorable position of the Monsoon high pressure system and increasing moisture resulted in a second consecutive day of strong to severe thunderstorms across much of southern Arizona.
ARKANSAS,5,2012,April,Tornado,0,0,0,0,911 Call Center,A cold front interacted with moisture from the Gulf of Mexico to produce strong to severe thunderstorms across northern Wisconsin during the afternoon of the 5th.
